geoid,bgs_commuter,hh,stops,revenue_percent,transit_revenue,county_commuter,tran_commuter_percent,tran_revenue_bgs,transitcost_hh
484910204062,30.0,1869.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.01278227524499361,15500.045454497793,8.293229242641944
484910207031,0.0,815.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910209001,0.0,294.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910209002,0.0,201.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910207011,0.0,410.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910212012,0.0,302.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910212011,0.0,760.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910214024,0.0,578.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910214021,0.0,628.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910214022,0.0,436.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910214023,0.0,171.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910204031,11.0,372.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.004686834256497656,5683.3499999825235,15.277822580598182
484910203022,12.0,1289.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0051129100979974435,6200.018181799116,4.809944283785195
484910203021,20.0,742.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.008521516829995739,10333.36363633186,13.92636608670062
484530018422,0.0,939.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530018441,36.0,597.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0018437900128040973,39998.23898575584,66.99872526927275
484530017161,0.0,1437.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530017542,0.0,652.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530017692,18.0,1630.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0009218950064020486,19999.11949287792,12.269398461888294
484530018041,37.0,788.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0018950064020486555,41109.30117980461,52.16916393376219
484530018342,1.0,3136.0,2272,0.9319114027891715,21693489.338802297,19525.0,5.1216389244558256e-05,1111.062194048773,0.35429279146963427
484530021101,131.0,1005.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.006709346991037132,145549.1474203893,144.82502230884506
484530023151,150.0,725.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0076824583866837385,166659.32910731598,229.87493669974617
484530009011,7.0,360.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0003585147247119078,7777.435358341413,21.603987106503926
484530009012,28.0,719.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0014340588988476313,31109.741433365652,43.26806875294249
484530003024,128.0,400.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.006555697823303457,142215.96083824296,355.5399020956074
484530004011,41.0,804.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0020998719590268884,45553.5499559997,56.65864422388022
484530017331,0.0,939.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530023141,0.0,273.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530024111,85.0,796.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.004353393085787452,94440.28649414572,118.64357599767051
484530024113,42.0,530.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.002151088348271447,46664.61215004848,88.04643801895939
484530016032,0.0,427.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530016033,0.0,207.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530016053,18.0,318.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0009218950064020486,19999.11949287792,62.89031287068528
484530016054,0.0,496.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530016051,0.0,656.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530017061,0.0,501.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530016022,19.0,414.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0009731113956466069,21110.18168692669,50.99077702156205
484530016023,456.0,538.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.023354673495518567,506644.3604862406,941.7181421677334
484530017123,0.0,345.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530017121,49.0,726.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0025096030729833546,54442.047508389885,74.989046154807
484530017462,12.0,614.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0006145966709346991,13332.74632858528,21.71457056772847
484530017491,42.0,501.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.002151088348271447,46664.61215004848,93.14293842325046
484530017512,0.0,690.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530017511,7.0,282.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0003585147247119078,7777.435358341413,27.579558008302882
484530018292,33.0,749.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0016901408450704226,36665.052403609516,48.95200587931845
484910214012,0.0,1324.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
