stop_id,stop_name,stop_lat,stop_lon
1, San Marcos Outlets,29.825722502949027, -97.9857860390427
2, Texas State University,29.887523655373375, -97.94185946687007
3, Georgetown Library,30.636583765954917, -97.67973330916787
4, IKEA / University Oaks,30.5558297994881, -97.68988389650383
5, Marble Falls City Hall,30.571953642857274, -98.27716272945062
6, Marble Falls HEB,30.583296744831372, -98.27918767235975
7, Marble Falls Wal-Mart, 30.598376057205993, -98.27037410246155
8, Burnet, 30.756339850763396, -98.22499732284942
9, Bertram (Shell station),30.740655434483863, -98.04973353316386
10,Liberty Hill,30.665749667089347, -97.90602613022465
11, Luling American Legion, 29.682056574255196, -97.65302714265847
12, Luling Visitor Center,29.680942839031346, -97.64882435180725
13, Lockhart Wal-Mart,29.8575357622693, -97.66597568610183
14, Lockhart HEB,29.88077382225138, -97.67047732844712
15, Austin VA Clinic,30.207754640406044, -97.69050573381271
16, THL Park and Ride, 30.177075092539337, -97.52610748588812
17, La Grange Downtown, 29.90536947908525, -96.87912562607455
18, La Grange Wal-Mart,29.901382312076475, -96.90615507969568
19, Giddings Library,30.18296219233187, -96.92944506794656
20, Paige (Chevron station),30.209533347396395, -97.10893572219689
21, River & SH 80 (Walmart), 29.882493400194946, -97.91205414260386
22, Hopkins & LBJ, 29.883437379047002, -97.93991926206193
23, Hopkins & Thorpe (HEB), 29.882948918052346, -97.94307629962218
24, Wonder World & Hunter, 29.866506383252677, -97.96312076822225
25, CTMC, 29.865153358796533, -97.9626032843658
26, Leah & Cottonwood (Sam’s Club), 29.850378821972235, -97.95313122461056
27, Hopkins & Guadalupe, 29.88302619397853, -97.94175665954347
28, Uhland & Post(N), 29.898575441559515, -97.91828493658126
29, Uhland & Post(S), 29.89837642848398, -97.91786861595519
30, Paintbrush & Post, 29.910182653873303, -97.91134404253607
31, IH 35 & Uhland, 29.892777292627848, -97.9167191930173
32, Conway Park Bugg & Clarewood, 29.88549354032969, -97.96656892731517
33, San Marcos Conference Center, 29.839591506702718, -97.97009034025152
34, LBJ & Cheatham, 29.876637872906606, -97.93899143204709
35, Woods & Guadalupe, 29.887547231365378, -97.94186191584863
36, Highcrest Apartments, 29.893018776801306, -97.95836346244059
37, Craddock & Ladybird, 29.89883057215829, -97.96030479575285
38, Guadalupe Meat Mkt., 29.813861291218927, -97.90580315229494
39, Sunrise Village, 29.85860931145306, -97.94061872871886
40, MLK& Mitchell, 29.8757298788029, -97.94884047324223
41, CARTS at Plaza Saltillo, 30.262198264395163, -97.72752708141847
42, Georgetown Station,30.6104626049967, -97.68553749923151
43, Taylor Station, 30.567679984711805, -97.42152578850988
44, Round Rock Station,30.507198776030076, -97.68116594766941
45, Bastrop Station,30.10698375868617, -97.32984950151129
46, San Marcos Station,29.876467288265495, -97.94115057546684
47, Smithville Station,30.007468357535252, -97.15727833203528
48, Marble Falls Station,30.57663666967586, -98.27284531389397
49, Lee Dildy Complex-Carts Vmc,30.178670360735385, -97.52650441001873
50, Eastside Bus Plaza,30.251647048257237, -97.69812547181863 










