TAZ,HH15,HHSIZE15
1537,272,2.334558824
17,3091,2.449692656
12,1659,2.215792646
820,1368,3.216374269
578,1199,2.758131776
566,173,3.959537572
1605,351,2.484330484
692,110,2.618181818
812,355,2.712676056
577,285,2.543859649
54,63,2.126984127
675,56,3.267857143
821,45,3.422222222
813,140,2.685714286
586,182,3.016483516
94,875,3.202285714
92,1396,3.306590258
53,46,2.869565217
1720,624,2.943910256
1721,160,2.61875
74,1091,2.953253896
1719,262,3.229007634
1419,342,2.538011696
96,542,2.931734317
97,370,3.551351351
810,56,3.214285714
102,148,3.513513514
1088,289,2.733564014
1789,164,3.865853659
602,208,3.125
1462,566,3.183745583
101,2749,2.777009822
1463,438,3.869863014
1859,0,0
146,1147,3.223190933
1860,9,1.777777778
1798,2,3.5
662,494,3.694331984
1797,2051,3.353973671
1342,606,3.471947195
1736,682,3.906158358
150,460,2.884782609
1735,421,2.950118765
1011,201,2.820895522
1075,44,2.909090909
1002,1130,3.248672566
1323,338,2.831360947
594,1171,4.237403928
2213,805,4.00621118
665,714,3.324929972
404,1041,3.510086455
127,723,4.177040111
1012,193,5.81865285
114,0,0
115,506,2.371541502
1848,1,2
126,454,3.889867841
1855,806,2.725806452
116,265,2.996226415
1856,915,3.081967213
1857,746,2.912868633
1412,0,0
1398,643,3.121306376
1395,2,4
1858,872,3.153669725
1399,514,2.795719844
109,2,2
663,791,4.098609355
1394,23,2.608695652
1396,0,0
1013,225,5.88
961,36,2.305555556
1397,0,0
1006,32,2.375
1010,106,3.264150943
2169,19,2.368421053
1321,249,3
651,534,4.559925094
650,81,2.345679012
629,18,5.055555556
2127,6,4.833333333
628,49,2.183673469
1807,22,2.363636364
2214,0,0
1457,2,1.5
1482,708,3.228813559
1009,57,3.385964912
1004,148,3.905405405
1853,723,4.027662517
952,72,2.319444444
861,298,3.067114094
953,169,2.721893491
2171,0,0
107,716,3.565642458
955,26,2.769230769
1344,11,2.363636364
1345,63,4.015873016
2158,3,4
106,795,2.753459119
880,937,2.332977588
879,0,0
875,832,2.509615385
874,0,0
873,593,1.645868465
1423,168,3.833333333
878,171,2.953216374
30,541,2.384473198
1792,31,1.774193548
366,555,2.506306306
859,278,1.730215827
522,52,4.519230769
1826,48,2.3125
640,23,1.913043478
1793,436,2.21559633
956,4,1.5
954,688,3.494186047
1737,386,2.979274611
1393,493,2.125760649
858,205,2.526829268
1794,0,0
933,340,2.576470588
1424,420,2.385714286
558,570,2.764912281
1583,612,2.764705882
209,927,2.918015102
1592,646,3.568111455
175,1569,3.080943276
174,2461,3.553027225
1591,928,3.769396552
160,1892,3.483615222
176,770,2.585714286
1468,1541,2.525632706
194,1417,3.016231475
1467,1541,2.974691759
1320,346,3.002890173
623,27,3.666666667
559,13,1.846153846
1074,158,2.96835443
1318,644,2.541925466
159,1102,2.800362976
1051,969,2.187822497
1401,794,3.405541562
1100,227,3.101321586
1589,482,2.244813278
1590,1536,3.3515625
1352,1,2
1351,1000,3.297
426,577,1.648180243
1584,0,0
1596,879,1.567690557
158,1110,2.410810811
1354,5,4
1353,731,2.967168263
1585,270,2.748148148
157,2349,2.163048106
1316,691,2.026049204
1469,0,0
1796,0,0
2153,441,2.804988662
1453,616,1.86525974
172,1412,2.325070822
148,604,1.488410596
1586,1,1
143,258,2.178294574
142,1754,3.033067275
149,596,2.728187919
1355,59,2.576271186
122,886,2.726862302
140,781,2.263764405
141,12,1.416666667
1788,949,2.790305585
147,0,0
144,1650,2.891515152
121,2973,2.782038345
1532,948,3.564345992
1531,1131,2.726790451
112,360,2.419444444
1874,279,2.379928315
794,48,2.645833333
139,121,2.289256198
1050,0,0
1630,0,0
120,1003,2.369890329
1534,614,2.941368078
137,211,2.497630332
156,0,0
155,0,0
154,1184,2.220439189
1060,1278,2.98200313
1058,1163,4.882201204
1873,239,2.49790795
113,1299,4.100846805
47,401,3.6159601
1400,541,2.670979667
138,287,2.543554007
1875,42,2.69047619
1404,842,2.752969121
1405,262,2.702290076
571,912,3.165570175
1847,337,3.614243323
1850,0,0
1844,502,2.898406375
1845,1,4
569,2718,2.791390728
123,144,2.604166667
1846,2,4
135,68,3.411764706
1403,0,0
131,94,1.691489362
128,157,2.573248408
132,363,1.691460055
124,0,0
129,1108,3.146209386
136,13,3.461538462
125,1777,2.761958357
130,1499,2.504336224
134,5,3
509,1202,2.411813644
508,323,2.27244582
507,446,2.177130045
506,896,2.379464286
488,688,1.761627907
1771,695,2.618705036
504,1069,1.886810103
503,494,2.192307692
502,198,3.51010101
487,289,1.397923875
489,1337,2.161555722
80,761,1.512483574
58,10,2.1
486,0,0
467,575,1.568695652
466,352,1.457386364
57,1559,1.924310455
56,1304,2.307515337
1772,910,1.754945055
1718,813,1.616236162
1680,186,5.096774194
462,0,0
460,324,2.611111111
461,682,2.086510264
79,1011,1.96834817
63,191,1.984293194
55,19,3.157894737
464,897,1.431438127
448,714,2.682072829
485,281,3.975088968
433,214,3.060747664
432,65,2.815384615
50,656,2.713414634
465,586,1.530716724
1717,293,2.28668942
1773,42,2.19047619
1621,638,1.846394984
434,639,2.359937402
365,266,2.601503759
367,294,2.336734694
1695,50,2.24
1694,208,2.134615385
313,379,1.844327177
1693,170,2.035294118
364,153,2.431372549
449,451,2.614190687
435,470,1.327659574
450,495,1.731313131
431,51,3.254901961
430,3,4.333333333
52,255,2.752941176
1670,432,3.44212963
59,455,1.892307692
45,259,1.806949807
846,15,3.733333333
46,1028,2.397859922
38,125,2.992
61,750,2.354666667
1679,393,2.384223919
49,86,2.906976744
1678,159,4.144654088
32,506,2.697628458
31,1619,2.391599753
22,1509,3.282968854
13,435,1.708045977
1822,148,4.425675676
1475,927,2.810140237
1476,121,1.826446281
1821,517,2.558994197
574,702,1.720797721
1063,365,2.378082192
1061,823,2.495747266
1062,409,2.491442543
573,567,3.654320988
1801,0,0
1073,0,0
119,0,0
1059,1014,3.41025641
932,746,3.325737265
1872,81,2.049382716
1072,1,4
1070,520,3.332692308
1871,140,5.857142857
931,21,5.857142857
568,985,2.699492386
1057,4,3.25
1071,1552,3.06443299
110,580,3.155172414
111,601,4.415973378
927,123,4.910569106
1066,148,2.689189189
567,446,2.807174888
925,2089,2.941120153
1533,1090,2.701834862
164,891,2.28956229
163,1199,2.259382819
165,1031,2.459747818
1322,369,1.60704607
161,1864,2.427038627
153,808,2.891089109
162,763,1.533420708
1479,245,1.542857143
1478,429,2.463869464
187,787,2.026683609
182,1260,3.044444444
180,634,2.574132492
186,475,2.741052632
185,4,3.25
212,22,2.681818182
213,1142,2.697898424
210,303,1.755775578
15,1038,2.187861272
575,782,1.941176471
1843,117,3.94017094
1594,1456,1.953296703
193,1284,2.749221184
173,2123,1.762129063
1319,469,1.496801706
1317,68,3.117647059
23,1609,2.413300186
2215,83,2.397590361
33,319,3.614420063
1473,187,3.524064171
24,51,2.980392157
1474,472,1.822033898
95,582,2.711340206
334,162,3.061728395
1472,294,1.918367347
282,307,1.970684039
337,25,2.36
309,320,3.1375
272,22,3
273,350,2.305714286
664,935,1.557219251
1239,71,3.23943662
1242,116,4.284482759
2203,1,1
2204,164,3.908536585
1276,136,2.919117647
1762,19,3.473684211
2208,2,4
2207,0,0
2202,3,2.333333333
1840,71,3.718309859
1365,33,2.909090909
1237,95,3.305263158
1238,384,2.932291667
1253,148,2.554054054
1763,4,3.25
1764,11,4.272727273
1247,36,3.055555556
1275,117,2.735042735
1236,156,3.557692308
2201,12,3.25
2228,37,4.405405405
1235,276,1.34057971
1287,303,2.699669967
1290,366,3.090163934
1364,84,5.511904762
1289,38,5.815789474
1285,79,2.329113924
1240,235,2.778723404
1284,276,3.152173913
1292,5,4.6
1291,8,3.375
2200,11,2.545454545
1228,3,3
2199,54,3.481481481
1294,32,3.375
2223,4,3.25
1245,291,3.95532646
1760,47,3.085106383
1293,319,3.815047022
1244,25,3.24
1286,352,2.778409091
1767,196,2.658163265
1745,155,4.529032258
1744,2,5.5
1127,252,4.78968254
1279,387,2.720930233
1277,199,3.48241206
1278,402,2.930348259
1369,147,4.197278912
1288,89,4.426966292
1227,245,2.726530612
1298,501,2.862275449
1306,10,1.8
1315,192,3.010416667
1299,210,3.185714286
1828,618,3.669902913
1830,4,2.75
2190,523,3.921606119
1134,389,2.964010283
1295,12,2.583333333
556,117,2.871794872
2233,19,2.368421053
2120,35,2.485714286
582,257,3.910505837
597,206,3.383495146
555,126,3.079365079
1488,39,2.487179487
596,22,2.772727273
581,135,3.725925926
557,62,2.806451613
2115,87,3.068965517
553,126,3.253968254
281,270,3.703703704
2112,17,2.941176471
1486,24,3.25
551,56,2.696428571
1485,0,0
1487,16,3.3125
552,135,3.022222222
1330,50,3.42
545,66,4.439393939
604,89,3.292134831
544,26,5.384615385
1356,78,5.269230769
295,112,3.776785714
550,473,3.315010571
554,2,3
532,132,3.560606061
1516,818,4.987775061
600,1070,4.205607477
533,70,4.328571429
1810,170,4.947058824
256,26,5.846153846
534,148,2.824324324
1331,65,2.769230769
1333,17,5.411764706
605,94,4.074468085
521,49,2.346938776
2122,458,4.451965066
2124,936,4.125
612,40,5.35
524,187,3.245989305
1337,45,3.422222222
1126,139,3.215827338
1332,60,3.666666667
608,43,3.674418605
609,23,4.782608696
1335,519,5.028901734
1554,67,3.313432836
606,59,3.796610169
1336,241,4.863070539
523,83,3.13253012
1334,120,4.433333333
614,1023,3.207233627
1128,504,4.152777778
2123,261,4.011494253
548,354,4.793785311
1517,320,2.459375
1460,476,3.115546218
1518,692,2.315028902
1349,562,3.804270463
547,1636,2.14608802
1769,638,2.388714734
1770,208,4.557692308
542,2294,3.057977332
1461,234,2.111111111
549,0,0
1790,373,2.479892761
1347,12,4.666666667
1346,611,3.659574468
519,282,3.411347518
423,383,3.44386423
1503,0,0
520,6,2.5
1504,0,0
540,617,2.802269044
539,126,3.198412698
538,0,0
1806,282,3.992907801
529,482,1.70746888
516,1827,2.110563766
350,1317,2.276385725
517,1390,4.191366906
528,855,1.861988304
513,1224,2.673202614
518,288,3.805555556
530,714,3.156862745
1509,607,3.105436573
498,223,3.470852018
1775,490,5.710204082
318,4,3.25
531,425,3.324705882
1805,168,2.863095238
527,552,2.375
537,300,3.236666667
1513,242,3.289256198
1514,566,5.657243816
283,525,2.859047619
526,1438,2.328929068
515,265,2.211320755
514,358,2.410614525
1512,562,2.645907473
1979,180,2.472222222
1654,234,2.397435897
1978,221,2.488687783
491,304,2.930921053
1653,403,2.637717122
1515,614,4.13029316
1989,252,3.837301587
495,342,3.543859649
265,611,2.494271686
490,131,2.427480916
511,341,1.985337243
510,135,2.281481481
493,257,2.564202335
1506,0,0
1510,304,3.884868421
481,0,0
1507,0,0
1511,836,4.090909091
1686,840,1.93452381
1508,62,2.935483871
1804,404,3.574257426
87,145,2.834482759
1477,826,2.755447942
1480,6,3.833333333
169,1435,1.89825784
168,1306,2.368300153
183,653,2.215926493
1604,934,2.24732334
1809,179,3.100558659
562,58,2.362068966
928,81,2.049382716
10,383,2.38381201
1097,1866,2.285101822
1754,600,2.585
9,219,1.863013699
1096,73,2.630136986
6,733,1.877216917
2103,337,2.029673591
5,234,2.047008547
1823,2408,3.02076412
576,977,2.078812692
1753,472,1.98940678
1108,4,3.5
850,308,2.655844156
2231,13,2.615384615
446,67,2.432835821
1112,59,2.491525424
1114,194,2.268041237
852,384,4.4375
2028,131,2.938931298
2020,87,2.862068966
855,82,4.804878049
2226,69,2.173913043
2029,47,1.893617021
2025,210,3
1039,244,3.233606557
1703,69,3.057971014
1361,103,2.533980583
2019,57,3.157894737
1359,38,2.631578947
1040,444,3.105855856
1044,982,2.923625255
1710,734,3.164850136
1064,1622,2.781134402
1041,1059,3.101038716
1042,714,2.708683473
470,1500,2.323333333
1047,1740,3.925862069
1,668,3.131736527
179,368,3.078804348
178,2558,2.844800625
14,84,2.107142857
1588,470,2.431914894
1048,2241,2.434181169
151,1456,2.32967033
1055,1401,2.334760885
2070,256,2.203125
2071,346,2.413294798
2073,295,3
2086,189,2.851851852
2022,58,2.655172414
2005,81,2.925925926
2065,50,4.14
2083,29,2.620689655
2063,82,2.731707317
2002,61,2.754098361
2004,57,3.210526316
2227,35,3.057142857
2052,88,3.227272727
2053,345,2.67826087
