geoid,county,rent_cost,housing_mortgage,medincome,commuter,pop_housing,totpop,HHsize,HH,HousingUnits,OwnerUnits,RentalUnits,vehicle,public_transit,drivealone
480539607004,053,650,1631,54722,650,1424,1424,2.08,684,878,291,393,933.0,0,581
480539607005,053,793,1556,42978,824,1576,1576,2.8,562,739,218,344,921.0,0,485
480539608001,053,0,1537,116103,815,1842,1842,2.65,695,1077,653,42,,0,606
480539608002,053,1092,1290,57703,1397,2589,2589,3.16,819,1076,661,158,1699.0,0,1010
480539608003,053,719,3060,82500,847,1918,1935,2.26,850,1297,727,123,1882.0,0,573
480559601011,055,977,1256,58333,942,2073,2073,3.49,594,610,441,153,1355.0,0,887
480559601012,055,1024,1298,48795,1657,4090,4090,3.97,1029,1090,826,203,2352.0,0,1530
480559601013,055,0,1216,57336,836,1725,1725,2.75,627,752,483,144,1403.0,0,718
480559601021,055,646,1360,57604,1142,2862,2862,2.71,1058,1202,882,176,2180.0,0,818
480559601022,055,1013,1385,49750,602,1307,1447,3.01,434,543,309,125,975.0,0,548
480559602001,055,881,868,50925,442,1324,1495,3.14,421,441,289,132,870.0,0,415
480559602002,055,854,1433,74335,819,1838,1913,2.71,677,677,416,261,1241.0,0,668
480559602003,055,675,0,48527,90,191,1493,1.5,127,127,71,56,187.0,0,67
480559602004,055,1328,0,52361,226,668,668,3.93,170,193,100,70,270.0,0,174
480559603001,055,1432,1777,48942,630,1658,1658,2.73,607,681,446,161,1140.0,0,541
480559603002,055,945,2097,77014,535,1122,1122,3.07,365,388,266,99,840.0,0,360
480559603003,055,1029,1349,60809,1060,1646,1646,2.67,617,668,352,265,1252.0,0,874
480559604001,055,949,1108,45461,918,1739,1739,3.24,537,614,313,224,977.0,0,618
480559604002,055,873,1351,57232,1019,1901,1984,2.46,774,850,358,416,1409.0,0,794
480559605001,055,745,1380,46313,627,1395,1395,2.57,542,629,419,123,1038.0,0,525
480559605002,055,1032,908,92978,758,1493,1493,2.96,505,565,420,85,1180.0,0,690
480559605003,055,842,1438,57586,1200,2244,2244,2.82,796,887,524,272,1590.0,0,977
480559605004,055,815,0,51193,1088,636,2544,2.68,237,237,62,175,385.0,0,514
480559606001,055,1119,1485,67656,651,1274,1274,2.29,557,580,488,69,1228.0,0,447
480559606002,055,944,1337,71324,561,1221,1221,2.5,488,594,388,100,1049.0,0,463
480559607001,055,963,0,0,588,911,983,2.23,409,460,192,217,630.0,0,499
480559607002,055,0,0,0,176,476,476,2.75,173,209,101,72,,0,117
480559607003,055,1013,0,0,562,1702,1748,2.65,642,687,246,396,957.0,0,515
480559607004,055,625,3026,49831,432,1098,1098,2.34,469,548,321,148,1051.0,0,255
480559607005,055,561,930,0,817,1675,1753,2.77,605,657,358,247,1029.0,0,627
482090101001,209,1031,994,29884,918,1364,1515,2.11,647,773,111,536,1029.0,0,532
482090101002,209,1146,1885,67212,543,847,847,2.15,394,508,255,139,703.0,12,400
482090102001,209,994,0,20329,542,744,980,1.97,377,439,111,266,647.0,0,394
482090102002,209,1159,1602,33750,1216,788,3926,2.68,294,318,82,212,618.0,13,728
482090102003,209,0,0,2499,300,98,1284,2.13,46,59,5,41,,0,135
482090103021,209,1079,1100,38856,738,1629,1629,2.76,590,692,202,388,877.0,0,584
482090103022,209,967,1107,41743,2080,3219,3224,2.39,1348,1357,356,992,2325.0,0,1678
482090103031,209,1171,964,49833,1019,1552,1552,2.24,692,739,269,423,1211.0,0,866
482090103032,209,1083,1424,31130,1644,3148,3538,2.89,1088,1179,369,719,2295.0,23,1328
482090103033,209,1141,0,38333,2611,3929,4007,2.42,1626,1875,0,1626,2608.0,94,2065
482090103041,209,934,0,17396,593,1292,1292,1.57,824,860,49,775,1145.0,32,491
