geoid,hbw_vmthh_bgs_day,hbnw_vmthh_bgs_day,tot_vmthh_bgs_day,hbw_vmthh_bgs_year,hbnw_vmthh_bgs_year,tot_vmthh_bgs_year
480219501001,75.12099285558966,74.50256214949894,148.69212625366507,24294.129089497696,24094.12859914796,48087.03363043528
480219501002,51.759272278973,63.03998823285833,114.79926051183135,16738.94865501987,20387.132194506383,37126.08084952625
480219501003,36.92120196135417,69.30562431732656,106.22682627868072,11940.316714301938,22413.43890422341,34353.75561852535
480219501004,71.67301440807802,76.96792160791307,148.6409360159911,23179.05285957243,24891.42584799909,48070.478707571514
480219501005,60.107970738782804,30.820438029779524,90.74283625929287,19438.917736922358,9967.329658830697,29346.233246255313
480219502001,44.04995448660753,35.334778263774695,79.38473039462107,14245.755280968877,11427.267290504735,25673.02180962046
480219502002,43.42534242731122,34.1150287012797,77.50441665930292,14043.755740992448,11032.800281993854,25064.92834761856
480219502003,38.607826594895805,32.02285696422007,68.84193473253147,12485.771120789303,10356.19194222877,22263.481692500678
480219502004,45.264389407809205,41.669675703487854,84.51592256634294,14638.503534485495,13475.973122507972,27332.449357955305
480219502005,46.33969114844528,36.424794426805626,82.55208037304186,14986.256117407203,11779.77851762894,26697.342792641735
480219503001,61.525814836396805,60.76178146295822,122.28759629935504,19897.44851809073,19650.360125120686,39547.80864321142
480219503002,36.071187999019,31.911332650560198,67.9825206495792,11665.422198882745,10320.124979191169,21985.547178073914
480219503003,51.737115868554724,40.17562512578285,91.91274099433755,16731.783271890596,12992.797165678174,29724.580437568766
480219503004,35.215707564693055,33.9905683609559,69.20627592564895,11388.759826421734,10992.549807933137,22381.30963435487
480219503005,33.07887178451996,30.112186692596563,63.19105847711652,10697.707135113755,9738.281176385728,20435.98831149948
480219504001,25.014569324586358,16.852592055909057,40.15780122941895,8089.711719571229,5450.1282708809895,12987.03291759409
480219504002,13.589756251932293,12.16702106169975,25.75644486462892,4394.927171874903,3934.8146113536986,8329.634269220995
480219504003,14.558249585184562,9.18555296767302,23.743802552857588,4708.137915848688,2970.607829745455,7678.745745594143
480219504004,14.31204707571828,10.139765932915878,24.45037203752601,4628.516024287292,3279.200302704995,7907.2503169359115
480219504005,18.031804726328723,14.269745559748422,32.30155028607715,5831.4856484947095,4614.83571402264,10446.321362517348
480219505011,68.0424825400793,97.30609332020057,165.34857586027985,22004.938853461645,31468.790579752866,53473.7294332145
480219505012,33.04827317691179,29.928631303325428,62.97690448023722,10687.811545413275,9678.919363495444,20366.73090890872
480219505013,35.76100956737811,33.03276624115716,68.79377580853529,11565.11049409008,10682.796602390226,22247.90709648031
480219505021,45.886593109121954,47.00755943035696,92.89415253947891,14839.72421149004,15202.244719777442,30041.968931267482
480219505022,21.37439245620755,22.20001390376255,43.5744063599701,6912.478520337521,7179.484496476809,14091.96301681433
480219505023,36.185367256268194,29.889278208491135,66.07464546475934,11702.347770677135,9666.192572626032,21368.540343303168
480219506001,28.513960976790997,28.868963906650453,57.38245800040044,9221.414979894207,9336.222927410756,18557.4869173295
480219506002,53.402243851748864,51.70004352213852,103.94821631315122,17270.285661655584,16719.7940750596,33616.8531556731
480219506003,51.58776947047241,57.09360737383135,108.68137684430374,16683.484646750778,18464.07262469706,35147.55727144783
480219507001,20.455107745989825,10.520032907595692,30.975140653585516,6615.181845053108,3402.178642316447,10017.360487369555
480219507002,22.099670649816748,13.526246596333069,35.62591724614982,7147.033488150736,4374.388149254114,11521.42163740485
480219507003,20.708135961513513,12.794724591082765,33.50286051925011,6697.01116995347,4137.813932756166,10834.825091925486
480219507004,24.622292697595398,13.72208709677767,38.34437979437307,7962.849458402351,4437.722967097899,12400.572425500251
